questions,answers
Can the main driver be covered for liability when driving another car?,"The main driver may be covered for liability when driving another car, provided it meets specific conditions listed on your certificate of motor insurance. These conditions include not owning the car, having permission from the owner, and the car being driven within specified territorial limits."
What should I do if I need to make a claim under my policy?,"If you need to make a claim under your policy, you can contact us directly at 0345 878 6261 for general claims or 0800 328 9150 for windscreen claims. We aim to handle your claim promptly and fairly, ensuring you receive the support you need during this process."
What happens to my No Claim Discount (NCD) if I make a claim under my car insurance policy?,"Your NCD will remain unaffected unless you make more than 2 claims within a span of 3 years. However, making a claim may still result in an increase in your premium."
Could you recommend a good restaurant in India?,I'm afraid I don't have that information.
What type of courtesy car will be provided if your car is being repaired?,"If you claim under section 2 or 4 of your policy and your car is being repaired by an approved repairer, you will get a courtesy car to keep you mobile while your car is being repaired, subject to availability. The courtesy car will be a small hatchback with an engine size of up to 1000cc."
Can you help me book a flight to Paris?,"I'm designed to provide information about insurance policies, not travel bookings."
When does the Guaranteed Hire Car Plus cover apply?,"Guaranteed Hire Car Plus applies when your car is damaged due to an accident, fire, theft, or if it's stolen and not recovered, provided the incident occurs within the territorial limits of your policy."
What costs are not covered under Motor Legal Cover?,"We do not cover fines, penalties, compensation, or damages ordered by a court, disputes with us under Motor Legal Cover, or any appeal or enforcement action unless initially covered by us."
Where does my car insurance cover apply?,"Your car insurance covers you in Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man. It also extends to journeys between these locations."
What cover is provided for windscreen damage?,"Churchill will pay to replace or repair accidentally broken glass in the windscreen, sunroof, or windows of your car. They will also repair any scratching to the bodywork caused by the broken glass if there wasn’t any other loss or damage resulting from the same incident. Additionally, they will recalibrate your car’s ADAS (Advanced Driver Assistance System) if it relates to the repair or replacement of your car’s windscreen. This cover is included with Essentials, Comprehensive, and Comprehensive Plus but not with Third Party, Fire, and Theft."
Does this policy cover legal costs if I have to go to court?,"Yes, if there's an accident covered by this policy, Churchill may cover reasonable legal costs or expenses for defending or representing you or any driver covered by your policy. This includes proceedings such as coroner's inquests or criminal cases related to the accident."
Does Churchill have a network of approved repairers?,"Yes, Churchill customers have access to a national network of approved repairers. If your car is repaired by one of these, they will handle all aspects of the repair."
What types of losses are excluded under the cyber section of the policy?,"The policy excludes coverage for any loss, damage, legal liability, cost, or expense caused by failure or partial failure of any computer or computer system, loss of electronic data, repair or replacement of electronic data, or any cyber event."
Can I choose where my car gets repaired after an accident?,"Yes, you can choose a repairer of your choice for reasonable and necessary repairs, but Churchill must approve the repairer's assessment before work begins. If repairs are done at a repairer of your choice, they won't be covered by Churchill's guarantee, even if Churchill pays for them directly."
What items are not covered by my car insurance policy?,"The policy does not cover mechanical or electrical failure, wear and tear, damage to tyres caused by braking, punctures, cuts, or bursts, and breakdowns. Additionally, it won’t provide cover if your car is used by someone not insured on the policy, someone disqualified from driving, or for a purpose not allowed on the policy."
What happens if I don't report an accident promptly?,"It's crucial to inform Churchill about any accidents as soon as possible, even if you don't plan to make a claim. Prompt notification allows Churchill to contact the other party and handle the claim efficiently, which can help keep costs down and ensure you receive optimal service."
What happens if I have a complaint about my breakdown cover?,"If you have Green Flag breakdown cover and need to raise a complaint, please inform us when you contact us at 0800 051 0198. We are committed to resolving any issues promptly, typically within three working days. If we cannot resolve your complaint within this timeframe, we will keep you informed about the next steps and provide you with updates regularly."
How do I train my dog to sit?,I'm focused on answering questions about insurance policies.
What's the latest news on the stock market?,I'm focused on answering questions about insurance policies.
What coverage is provided for in-car entertainment fitted when the car was made?,"If your car is damaged by fire or theft, or stolen and not recovered, Churchill will replace any damaged or stolen in-car entertainment equipment that was permanently fitted in your car when it was made, as long as they haven’t sent a payment to cover replacing your car."
What happens if my car is written off?,"If your car is written off and Churchill agrees to settle your claim on that basis, your policy responsibilities are considered fulfilled. Churchill will not refund any annual premium payments. If you pay by instalments under a credit agreement, you must settle any outstanding payments before Churchill can process your claim settlement."
